model,train_MAE_USD,CV_MAE_USD_mean,CV_MAE_USD_std,test_MAE_USD,test_RMSE_USD,train_R2_log,CV_R2_log_mean,CV_R2_log_std,test_R2_log
XGBoost tuned,15846.706271578027,19732.641987282717,616.7612235873145,19228.101775265535,29756.14028986588,0.7765142008489881,0.6057394015137001,0.013301242011631895,0.6298753587231118
XGBoost default,15759.927353863099,20102.151261200306,671.783031958366,19435.24433022572,29826.888534694583,0.7788062717790799,0.5961331158620842,0.014332944133839613,0.6191150269311834
Random Forest default,9928.18716503529,20302.282732988886,588.9688584127887,19626.379907344144,30277.0484413012,0.8917529790229541,0.5856558063137014,0.014005535906702355,0.6152757780689356
Ridge default,20665.782070905167,20895.784947992237,639.7749922432582,20615.68445048534,31198.007792591125,0.5795520082118386,0.5708409867361166,0.017042713945913973,0.59778550039862
