model,train_balanced_accuracy,CV_balanced_accuracy_mean,CV_balanced_accuracy_std,test_balanced_accuracy,train_macro_F1,CV_macro_F1_mean,CV_macro_F1_std,test_macro_F1
LightGBM tuned,0.9440314332411857,0.25344595368664546,0.008783483278643818,0.25542876503135614,0.8519956903143624,0.2512614164867152,0.00894974967499147,0.249683050851973
LightGBM default,0.8298026537415684,0.2595260903525781,0.006765823015776901,0.2629563426216299,0.6872270088304195,0.2442856851983402,0.0050581709479559905,0.24527295321378553
Logistic Regression default,0.3277629519529174,0.2687515412983338,0.006868682657094969,0.2650406966242155,0.2722366719978834,0.22841474725880398,0.0028718440421644444,0.2228625107998959
Random Forest default,0.9973457332380559,0.23565878708660382,0.007147187899228482,0.23949307827201077,0.9921091826943913,0.22776787995063824,0.010969095804890003,0.23589430004018414
