class,precision,recall,f1-score,support
Change both employers and roles,0.10900473933649289,0.12568306010928962,0.116751269035533,183.0
Prefer not to say,0.12295081967213115,0.15384615384615385,0.1366742596810934,195.0
"Stay with the same employer,  but change roles",0.15915915915915915,0.2054263565891473,0.1793570219966159,258.0
"Stay with the same employer, same role",0.6869009584664537,0.581473968897904,0.6298059318930794,1479.0
"Stay with the same role, but change employers",0.16619718309859155,0.21071428571428572,0.1858267716535433,280.0
accuracy,0.4279749478079332,0.4279749478079332,0.4279749478079332,0.4279749478079332
macro avg,0.24884257194656567,0.25542876503135614,0.249683050851973,2395.0
weighted avg,0.47910149020342274,0.4279749478079332,0.45002319159887233,2395.0
